latitude	longitude	REFERENCE	département	commune	INSEE	catégorie	designation	propriétaire	description	date protection	auteur(s)	siècle
47.0514	6.38	PA25000045	25	Arc-sous-Cicon	25025	mairie	Ecole-mairie	propriété de la commune	L'école-mairie en totalité, ainsi que les murs de soutènement sud et ouest de la cour avec les escaliers (cad. AB 45) : inscription par arrêté du 25 juillet 2005	2005/07/25 : inscrit MH	Pessières (architecte) ; Pompée fils (architecte)	milieu 19e siècle
47.0347629	6.3285724	PA00101441	25	Aubonne	25029	château	Château	Propriété d'une personne privée	Façades et toitures ; l'escalier intérieur à balustres ; la cuisine et la chambre avec leur décor ainsi que les façades et toitures des communs et des anciennes écuries (cad. AB 158) : inscription par arrêté du 17 août 1979	1979/08/17 : inscrit MH		18e siècle ; 1er quart 19e siècle
47.48054	6.83747	PA00101442	25	Audincourt	25031	château	Château	Propriété de la commune	Façades et toitures ainsi que la cheminée des deux pièces Nord-Est et Sud-Est de l'étage (cad. AZ 192) : inscription par arrêté du 27 juin 1984	1984/06/27 : inscrit MH		2e moitié 18e siècle
47.48677	6.832796	PA25000065	25	Audincourt	25031	édifice religieux	Eglise de l'Immaculée Conception	propriété de la commune	L'édifice religieux et ses annexes, telles qu'elles sont délimitées sur le plan annexé à l'arrêté (cad. AE 173) : classement par arrêté du 20 mars 2013	2013/03/20 : classé MH	Bellot dom Paul (architecte) ; François Claude-Laurent (peintre-verrier) ; Reyre Valentine (peintre) ; Charlier Henri (sculpteur) ; Hézard Marcel (architecte)	2e quart 20e siècle
47.47613	6.84219	PA00101443	25	Audincourt	25031	édifice religieux	Eglise du Sacré-Coeur	propriété d'une association cultuelle	Eglise (cad. AZ 109) : classement par arrêté du 30 avril 1996	1996/04/30 : classé MH	NOVARINA Maurice (architecte)   ; LEGER Fernand (peintre)   ; BAZAINE Jean (peintre)   ; LE MOAL Jean (peintre)   ; CHOLEWSKA P. (peintre)   ; BORDERIE (peintre)   ; BARILLET Jean (peintre-verrier)	milieu 20e siècle
47.201111	5.964167	PA25000009	25	Avanne-Aveney	25036	édifice religieux	Eglise d'Avanne	propriété de la commune	L'édifice religieux, en totalité (cad. C 69) : inscription par arrêté du 5 mars 1998	1998/03/05 : inscrit MH	MARNOTTE Pierre (architecte)	2e quart 19e siècle ; 3e quart 19e siècle
46.8854	6.2365	PA00101444	25	Bannans	25041	édifice religieux	Eglise	Propriété de la commune	Eglise (cad. ZH 1) : inscription par arrêté du 30 décembre 1980	1980/12/30 : inscrit MH		17e siècle ; 2e quart 18e siècle
47.48533	6.77331	PA00132839	25	Bart	25043	site archéologique	Habitat fortifié	Propriété d'une personne privée ; Propriété d'une société privée	Habitat (cad. AH 15 à 21, 24 à 27) : inscription par arrêté du 4 février 1994	1994/02/04 : inscrit MH		Protohistoire
47.041206	5.92769	PA00101791	25	Bartherans	25044	château	Château de Bartherans	Propriété d'une personne privée	Façades et toitures de l'ensemble des bâtiments de communs et dépendance ; mur de clôture de la cour ; dans le corps de logis : escalier 18e siècle avec sa rampe en fer forgé, grande chambre à l'étage avec son décor, chambre avec alcôve et cheminée donnant du côté nord-est, à l'étage, avec son décor et grande pièce traversante à l'étage, avec son décor (cad. A 240) : inscription par arrêté du 17 juin 1992 ; Façades et toitures du corps de logis ; puits et pavage de la cour (cad. A 240) : classement par arrêté du 5 juillet 1993.	1992/06/17 : inscrit MH ; 1993/07/05 : classé MH		2e moitié 17e siècle ; milieu 18e siècle
47.35219735	6.36222505	PA00101445	25	Baume-les-Dames	25047	édifice religieux	Abbaye de bénédictines	propriété de la commune ; propriété privée	L'ancienne édifice religieux abbatiale : classement par arrêté du 12 juillet 1886 - L 'ensemble des façades et toitures des bâtiments, l'ensemble des sols et des sous-sols avec les vestiges archéologiques qu'ils comprennent et les parties suivantes, en totalité : l'entrée dans l'abbaye ; la sacristie sud de l'édifice religieux ; la cave voûtée des communs ; la partie du logis abbatial, 2, place de l'Abbaye ; les maisons, 6 et 8, place de l'Abbaye (cad. AH 275, 277, 279, 280, 282, 284, 268 à 288, 292, 554, 760, 291, 293 à 300, 759) : inscription par arrêté du 7 mai 2007	1886/07/12 : classé MH ; 2007/05/07 : inscrit MH	Galezot Jean-Pierre (maître d'oeuvre ; Nicole Nicolas (maître d'oeuvre)	18e siècle
47.35164103657	6.3612320899265	PA00101763	25	Baume-les-Dames	25047	mairie	Bailliage (auditoire et prisons)	Propriété de la commune	Bâtiment de l'auditoire, y compris les deux bancs de la façade et les décors, rampe en fer forgé et stucs du grand escalier, grilles du petit escalier, lambris et cheminées des pièces Nord-Ouest et Sud-Ouest à l'étage, lambris et stucs de la salle d'audience à l'étage ; façades et toitures de l'aile Ouest sur la rue Faivre-d'Esnans (cad. AH 356) : inscription par arrêté du 18 mai 1990	1990/05/18 : inscrit MH	BASSIGNOT Jean-Baptiste (maître de l'oeuvre) ; BERTRAND Ph. (maître de l'oeuvre)	2e moitié 18e siècle
47.3518	6.3611	PA25000058	25	Baume-les-Dames	25047	immeuble	Café, actuel restaurant	propriété d'une personne privée	Le plafond et la devanture du café (cad. AH 57) : inscription par arrêté du 13 février 2007	2007/02/13 : inscrit MH		limite 19e siècle 20e siècle
47.3533	6.3619	PA00101446	25	Baume-les-Dames	25047	édifice religieux	Eglise paroissiale Saint-Martin	Propriété de la commune	Eglise paroissiale Saint-Martin : inscription par arrêté du 18 janvier 1939	1939/01/18 : inscrit MH		1er quart 17e siècle
47.3526	6.3611	PA00101742	25	Baume-les-Dames	25047	immeuble	Hôtel des Sires de Neuchâtel	Propriété de la commune ; Propriété d'une société privée	Bâtiment 15e-16e siècle sur cour : façades et toiture ; tour d'escalier ; caves voûtées d'ogives, y compris celle qui s'étend vers l'Ouest sous une partie du bâtiment 18e siècle sur la place ; cheminée à hotte au rez-de-chaussée de l'aile Nord ; lambris et cheminée 18e siècle de la pièce Sud de l'étage de l'aile Sud. Bâtiment 18e siècle sur la place : façade sur la place et toiture (cad. AH 778, 779) : inscription par arrêté du 23 août 1989	1989/08/23 : inscrit MH		15e siècle ; 16e siècle ; 18e siècle
47.3523	6.3614	PA00101447	25	Baume-les-Dames	25047	immeuble	Maison	Propriété d'une personne privée	Les façades avec tourelle d'angle et la toiture : inscription par arrêté du 10 mars 1934	1934/03/10 : inscrit MH		3e quart 16e siècle
47.2609	6.6592	PA25000004	25	Belleherbe	25051	immeuble	Maison Sorribès dite château	propriété d'une personne privée	Corps de logis (cad. AC 15) : inscription par arrêté du 30 juillet 1997	1997/07/30 : inscrit MH		4e quart 18e siècle
47.3174	6.6027	PA00101450	25	Belvoir	25053	château	Château (ensemble du)	Propriété d'une personne privée	Château (ensemble du) (cad. 92bis, 93 à 96, 319) : inscription par arrêté du 6 septembre 1956	1956/09/06 : inscrit MH		1er quart 16e siècle
47.31829	6.605647	PA00101451	25	Belvoir	25053	marché	Halles et son moulin à huile	propriété de la commune	Halles, y compris le moulin à huile (cad. C 44) : inscription par arrêté du 1er mars 1973	1973/03/01 : inscrit MH		14e siècle ; 19e siècle
47.239111	6.029311	PA00135328	25	Besançon	25056	édifice religieux	Abbaye Saint-Paul	propriété d'une société privée	Bâtiment de cuverie et grenier : façades, toiture, cave et escalier intérieur dans l'angle est (cad. AH 25) : inscription par arrêté du 29 mars 1995	1995/03/29 : inscrit MH partiellement		?
47.239111	6.029311	PA00101453	25	Besançon	25056	édifice religieux	Abbaye Saint-Paul (ancienne)		L'édifice religieux : classement par arrêté du 12 novembre 1942	1942/11/12 : classé MH		?
47.234566	6.024912	PA00101452	25	Besançon	25056	édifice religieux	Abbaye des Bénédictins de Saint-Vincent (ancienne)	Propriété de la commune	La tour et le portail : inscription par arrêté du 8 juin 1926	1926/06/08 : inscrit MH		16e siècle
47.23915	6.01631	PA00101454	25	Besançon	25056	site archéologique	Amphithéâtre romain	propriété de l'Etat ; propriété de la commune	Les vestiges des arènes romaines et de la chapelle Saint-Jacques dans la caserne Condé, actuel lycée d'enseignement professionnel Condé : classement par arrêté du 2 avril 1927 - Le tronçon compris entre l'avenue Charles-Siffert au nord, la rue Marulaz au sud, l'escalier qui joint ces deux voies à l'est et le square à l'ouest : classement par arrêté du 28 mai 1947 - L'ensemble des vestiges, y compris les sols et les vestiges archéologiques qu'ils contiennent (cad. HZ 349 à 352 ; AX 149, 159) : inscription par arrêté du 12 février 2002	1927/04/02 : classé MH ; 1947/05/28 : classé MH ; 2002/02/12 : inscrit MH		Gallo-romain
47.2406085764794	6.02318465709686	PA00101480	25	Besançon	25056	hôpital	Ancien Hôpital du Saint-Esprit	propriété de la commune ; propriété d'une association cultuelle	La façade du 16e siècle sise sur le côté ouest de la petite cour attenant à l'ancienne édifice religieux du Saint-Esprit : classement par arrêté du 22 avril 1932 - La façade et la toiture de la maison sise 31 quai Vauban, ainsi que la chaussée et le quai : inscription par arrêté du 16 septembre 1933 - Le mur entre rue et cour avec grand portail ; les façades sur rue et sur cour, ainsi que les combles qui les surmontent de l'immeuble sis rue Claude Goudimel : inscription par arrêté du 25 octobre 1937 - La tour en totalité, sise 5 rue Goudimel et 29, quai Vauban, y compris la porte déposée et la fermeture en bois de la tour d'escalier (cad. AD 135) : classement par arrêté du 19 août 2005	1932/04/22 : classé MH ; 1933/09/16 : inscrit MH ; 1937/10/25 : inscrit MH ; 2005/08/19 : classé MH	Galezot J.P. (architecte) ; Colombot J.C. (architecte)	16e siècle ; 18e siècle
47.234133	6.030427	PA00101484	25	Besançon	25056	immeuble	Ancien Hôtel Boistouset ou Hôtel Dagay	Propriété d'une association	Hôtel Boistouset (ancien) , actuellement Archevêché : inscription par arrêté du 18 février 1942	1942/02/18 : inscrit MH		18e siècle
47.234196	6.023887	PA00101509	25	Besançon	25056	immeuble	Ancien Hôtel Pétremand de Valay, actuelle Banque de France	propriété d'un établissement public	Les façades et toitures des ailes droite, gauche et du corps de bâtiment principal ; le vestibule de l'aile droite avec sa coupole peinte ; le grand escalier avec sa cage, le grand salon – actuelle salle du conseil – avec son décor, les six dessus de portes ornés du vestibule au rez-de-chaussée, le bureau du directeur au premier étage, les deux cheminées du 18e siècle au deuxième étage du corps de bâtiment principal ; la cour ; le parc, avec ses éléments construits et son portail rue Charles-Nodier (cad. AO 8, 31) : inscription par arrêté du 4 août 2011	2011/08/04 : inscrit MH	Colombot C.A. (architecte)	4e quart 18e siècle ; milieu 19e siècle
47.234289	6.029836	PA00101455	25	Besançon	25056	édifice religieux	Ancien archevêché	propriété de l'état	Chapelle de l'Archevêché (chapelle Saint-Nicolas) : classement par arrêté du 18 mai 1908 ; Les façades et toitures : sur la rue de la Convention : de l'aile Nord-Ouest de l'Archevêché (pour la partie donnant sur le jardin) , de l'ancien logis des Archevêques (pour sa partie Sud-Est) , du bâtiment comportant les vestiges de l'ancien cloître, de l'orangerie ; la rampe en fer forgé de l'escalier ; les pièces suivantes avec leur décor : le vestibule, le salon rouge, la salle de billard, la salle à manger (cad. AM 47) : inscription par arrêté du 18 octobre 1979	1908/05/18 : classé MH ; 1979/10/18 : inscrit MH		15e siècle ; 16e siècle ; 1er quart 18e siècle
47.237203	6.020309	PA00101471	25	Besançon	25056	édifice religieux	Ancien collège des Jésuites, collège Victor-Hugo-Centre	propriété de la commune	Eglise Saint-François-Xavier (ancienne chapelle des Jésuites) : classement par arrêté du 13 juin 1942 - Fontaine et ensemble des bâtiments du collège (cad. AW 108) : classement par arrêté du 27 décembre 1996	1942/06/13 : classé MH ; 1996/12/27 : classé MH		4e quart 17e siècle ; 18e siècle
47.239135	6.021899	PA00101496	25	Besançon	25056	immeuble	Ancien hôtel Gauthiot d'Ancier	Propriété d'une personne privée ; Propriété d'une société privée	Façade et toiture de l'ancien hôtel : inscription par arrêté du 18 février 1942 ; Travée de l'ancienne maison en pans de bois (y compris ses remplissages, charpente de toiture, portes à ferrures) conservée à partir du deuxième étage de la maison (cad. AD 95) : inscription par arrêté du 28 janvier 1994	1942/02/18 : inscrit MH ; 1994/01/28 : inscrit MH		13e siècle ; 1ère moitié 16e siècle
47.232982	6.025628	PA00101493	25	Besançon	25056	immeuble	Ancien hôtel de Courbouzon, actuellement Faculté des Lettres	propriété de l'Etat	L'escalier intérieur avec sa rampe en fer forgé et sa cage ; l'antichambre au premier étage ; le grand salon et le bureau avec leur décor au premier étage (cad. AO 24) : classement par arrêté du 11 juillet 1984 - Les façades et toitures sur rue et sur cour (cad. AO 24) : inscription par arrêté du 11 juillet 1984	1984/07/11 : classé MH ; 1984/07/11 : inscrit MH		2e quart 18e siècle
47.233133	6.025856	PA00101494	25	Besançon	25056	immeuble	Ancien hôtel de Courbouzon-Villefrançon, actuellement Faculté des Lettres	propriété de l'Etat	La façade sur rue et le pan de couverture qui la surmonte : inscription par arrêté du 1er octobre 1937 - Le grand salon ; les deux pièces contiguës donnant sur ce dernier avec leur décor, au premier étage (cad. AO 24) : classement par arrêté du 28 décembre 1984 -La façade et la toiture sur cour, ainsi que le bureau du directeur au premier étage (cad. AO 24) : inscription par arrêté du 28 décembre 1984	1937/10/01 : inscrit MH ; 1984/12/28 : classé MH ; 1984/12/28 : inscrit MH		2e quart 18e siècle
47.23322217	6.02242797	PA00101520	25	Besançon	25056	immeuble	Ancienne Intendance de Franche-Comté, actuellement Hôtel de la Préfecture du Doubs	propriété du département	L'ensemble des façades sur cour, sur jardin et sur rue ; la décoration intérieure de l'escalier et des pièces du rez-de-chaussée ; l'ensemble de la porte d'entrée sur rue : classement par arrêté du 19 septembre 1923 - L'ensemble des toitures (cad. K 855, 856) : classement par arrêté du 30 juillet 1963	1923/09/19 : classé MH ; 1963/07/30 : classé MH	Louis Victor (architecte) ; Nicole Nicolas (architecte)	2e moitié 18e siècle ; 1er quart 19e siècle
47.232532	5.989155	PA25000053	25	Besançon	25056	édifice religieux	Basilique Saint-Ferréol et Saint-Ferjeux	propriété de la commune	La basilique, en totalité, y compris le décor immeuble par destination et le parvis (cad. EW 29) : inscription par arrêté du 27 octobre 2006	2006/10/27 : inscrit MH	Ducat Alfred (architecte) ; Becquet Just (sculpteur) ; Gaudin (peintre-verrier) ; Girardot Louis-Auguste (peintre)	4e quart 19e siècle
47.2386	6.0267	PA25000016	25	Besançon	25056	immeuble	Boutique de pharmacie	propriété privée	Devanture et décor immeuble par destination de la salle principale de la boutique (cad. AC 15) : inscription par arrêté du 27 décembre 2000	2000/12/27 : inscrit MH		2e moitié 19e siècle
47.22064933	6.00486785	PA00101459	25	Besançon	25056	cabane	Caborde	Propriété d'une personne privée	Caborde (cad. RS 17) : inscription par arrêté du 13 novembre 1980	1980/11/13 : inscrit MH		17e siècle ; 18e siècle
47.226761857979	6.0129597525811	PA00101458	25	Besançon	25056	cabane	Caborde	Propriété d'une personne privée	Caborde (cad. IM 116) : inscription par arrêté du 13 novembre 1980	1980/11/13 : inscrit MH		17e siècle ; 18e siècle
47.257507886738	5.98737042828	PA00101457	25	Besançon	25056	cabane	Caborde	Propriété d'une personne privée	Caborde (cad. NS 56) : classement par arrêté du 4 octobre 1982	1982/10/04 : classé MH		17e siècle ; 18e siècle
47.20522865	5.98761305	PA25000079	25	Besançon	25056	cabane	Caborde sur la colline de Planoise, aux Equeugniers	propriété de la commune	La caborde en totalité (cad. LO 147) : inscription par arrêté du 6 mai 2013	2013/05/06 : inscrit MH		?
47.238668675238	6.0253195880411	PA00101460	25	Besançon	25056	immeuble	Café du Commerce	Propriété d'une personne privée	Le décor subsistant de la salle (cad. AC 7) : inscription par arrêté du 29 septembre 1981	1981/09/29 : inscrit MH		2e moitié 19e siècle
47.23893	6.03004	PA00101461	25	Besançon	25056	immeuble	Caserne Ruty	Propriété de l'état	Façades et toitures des bâtiments (cad. 820, 821, 829, 832, 757) : inscription par arrêté du 16 septembre 1964	1964/09/16 : inscrit MH		4e quart 17e siècle ; 2e moitié 18e siècle ; 2e quart 19e siècle
47.233611	6.030556	PA00101462	25	Besançon	25056	édifice religieux	Cathédrale Saint-Jean et Saint-Etienne	propriété de l'Etat	La cathédrale : classement par liste de 1875	1875 : classé MH		12e siècle ; 18e siècle
47.239112	6.029312	PA00101463	25	Besançon	25056	édifice religieux	Chapelle capitulaire Saint-Paul (restes de l'ancienne)	Propriété d'un établissement public	Chapelle capitulaire Saint-Paul (restes de l'ancienne) (cad. I 813) : inscription par arrêté du 17 juillet 1972	1972/07/17 : inscrit MH		13e siècle ; 14e siècle
47.241892	6.020819	PA00101464	25	Besançon	25056	édifice religieux	Chapelle des Carmes-Déchaussés (ancienne)	propriété de la commune	Façade et pan de couverture en croupe la surmontant : inscription par arrêté du 1er octobre 1937	1937/10/01 : inscrit MH		18e siècle
47.23346	6.0292	PA00101465	25	Besançon	25056	fontaine – lavoir	Château d'eau de la Source d'Arcier	Propriété de la commune	Château d'eau de la Source d'Arcier : inscription par arrêté du 12 avril 1926	1926/04/12 : inscrit MH		?
47.23022822	6.03404244	PA00101466	25	Besançon	25056	fortification	Citadelle	Propriété de la commune ; Propriété de l'état	Ensemble de bâtiments constituant la Citadelle, y compris la chapelle Saint-Etienne et le puits voisin : classement par arrêté du 8 juin 1942 ; Le bastion de la porte Rivotte : classement par arrêté du 5 janvier 1944 ; Les glacis de la citadelle, la porte Taillée et la porte Rivotte faisant partie des anciens remparts de Vauban : classement par arrêté du 14 mars 1944	1942/06/08 : classé MH ; 1944/01/05 : classé MH ; 1944/03/14 : classé MH	Vauban Sébastien Le Prestre de, marquis (ingénieur militaire)	16e siècle ; 2e moitié 17e siècle ; 1er quart 18e siècle
47.23747286	6.03263092	PA00101467	25	Besançon	25056	fortification	Colombier militaire ou Bastion Bregille	Propriété de la commune	Colombier militaire ou Bastion Bregille : classement par arrêté du 26 octobre 1942	1942/10/26 : classé MH		17e siècle
47.237923	6.020328	PA00101522	25	Besançon	25056	édifice religieux	Couvent des Cordeliers (ancien)	Propriété de la commune	Chapelle du lycée (cad. AW 2) : inscription par arrêté du 20 juillet 1979 ; Parties de l'ancien couvent : portail 18e siècle sur la rue du Lycée ; pavillon d'entrée, à l'angle des rues du Lycée et Girod-de-Chantrans ; bâtiments entourant la cour du cloître : façades, y compris huit travées de la façade Sud du bâtiment jouxtant la chapelle à l'Ouest, toitures, grand escalier de l'aile Nord, rez-de-chaussée de l'aile Ouest (actuellement cuisine voûtée et réfectoires) , salle voûtée au rez-de-chaussée de l'aile Est, décor et cheminée de la 3è pièce en partant du Nord, cheminée 18e siècle de la 5è pièce au deuxième étage de l'aile Est (cad. AW 2) : inscription par arrêté du 21 avril 1992	1979/07/20 : inscrit MH ; 1992/04/21 : inscrit MH	DUCAT (maître de l'oeuvre)	18e siècle ; 3e quart 19e siècle
47.237992	6.026462	PA00101469	25	Besançon	25056	édifice religieux	Eglise (ancienne)	Propriété d'une personne privée	Eglise (ancienne) , actuellement Central Cinéma : inscription par arrêté du 18 février 1942	1942/02/18 : inscrit MH		18e siècle
47.235896	6.027503	PA00101472	25	Besançon	25056	édifice religieux	Eglise Saint-Maurice	Propriété de la commune	Eglise Saint-Maurice : inscription par arrêté du 13 janvier 1938	1938/01/13 : inscrit MH		18e siècle
47.238116	6.024534	PA00101473	25	Besançon	25056	édifice religieux	Eglise Saint-Pierre	Propriété de la commune	Eglise Saint-Pierre : classement par arrêté du 21 janvier 1942	1942/01/21 : classé MH		18e siècle
47.24	6.0192	PA00101468	25	Besançon	25056	édifice religieux	Eglise de la Madeleine	propriété de la commune	Eglise : classement par arrêté du 13 mars 1930	1930/03/13 : classé MH	Nicole Nicolas (architecte)	18e siècle
47.2361	6.02615	PA00101470	25	Besançon	25056	édifice religieux	Eglise des Carmes (ancienne)	Propriété d'une personne privée	Les façades sur rue, contreforts et comble : inscription par arrêté du 27 octobre 1937	1937/10/27 : inscrit MH		15e siècle ; 16e siècle
47.236333	6.022941	PA00101474	25	Besançon	25056	fontaine – lavoir	Fontaine des Clarisses	Propriété de la commune	Fontaine des Clarisses : inscription par arrêté du 22 juillet 1935	1935/07/22 : inscrit MH		18e siècle
47.23288541	6.02342596	PA00101475	25	Besançon	25056	fontaine – lavoir	Fontaine des Dames	Propriété de la commune	Fontaine des Dames : classement par arrêté du 16 août 1921	1921/08/16 : classé MH	BRETON Luc (maître de l'oeuvre)	3e quart 18e siècle
47.234647645149	6.0296246394864	PA00101477	25	Besançon	25056	fontaine – lavoir	Fontaine monumentale	Propriété de la commune	Fontaine monumentale : inscription par arrêté du 21 octobre 1937	1937/10/21 : inscrit MH		?
47.2360815024	6.0293953760993	PA00101476	25	Besançon	25056	fontaine – lavoir	Fontaine monumentale	Propriété de la commune	Fontaine monumentale : inscription par arrêté du 21 octobre 1937	1937/10/21 : inscrit MH		18e siècle
47.233796	6.026824	PA00101478	25	Besançon	25056	fontaine – lavoir	Fontaine publique (Fontaine du Doubs)	Propriété de la commune	Fontaine publique (Fontaine du Doubs) : classement par arrêté du 16 août 1921	1921/08/16 : classé MH	PERRETTE Jacques (sculpteur)	3e quart 18e siècle
47.2270148	6.0234475	PA25000001	25	Besançon	25056	fortification	Fort Chaudanne	propriété de la commune	Fort (cad. IP 2) : inscription par arrêté du 30 mai 1996	1996/05/30 : inscrit MH		4e quart 18e siècle ; 2e quart 19e siècle
47.2418175	6.0343509	PA25000071	25	Besançon	25056	gare	Funiculaire	propriété de la commune ; propriété d'un établissement public communal	Le funiculaire, à savoir ses deux gares, sa voie et sa machinerie, en totalité (cad. CX 38, 45 ; CS 3, 4) : inscription par arrêté du 27 janvier 2011	2011/01/27 : inscrit MH		1er quart 20e siècle
47.240383	6.022031	PA00101479	25	Besançon	25056	immeuble	Grenier de la ville	Propriété de la commune	Facade et toiture de l'école d'Horlogerie (sur la place de la Révolution) au 27 rue des Boucheries : inscription par arrêté du 28 juin 1929 ; Façade et toiture, ainsi que la chaussée et le quai (quai Vauban) : inscription par arrêté du 16 septembre 1933	1929/06/28 : inscrit MH ; 1933/09/16 : inscrit MH		18e siècle
47.236238	6.019993	PA00101481	25	Besançon	25056	hôpital	Hôpital Saint-Jacques	propriété d'un établissement public régional	L'hôpital, à l'exception des parties classées : inscription par arrêté du 27 décembre 1938 - Les façades et toitures sur la cour d'honneur des bâtiments de l'Hôpital ; la chapelle (dite chapelle du Refuge) , ainsi que les façades curvilignes et les toitures correspondantes des deux bâtiments adjacents (cad. K 386, 388) : classement par arrêté du 16 juin 1970 - Le bloc opératoire Saint-Joseph en totalité (cad. AV 5) inscription par arrêté du 23 avril 2012	1938/12/27 : inscrit MH ; 1970/06/16 : classé MH ; 2012/04/23 : inscrit MH	Walter André (ingénieur)	4e quart 17e siècle ; 1ère moitié 18e siècle ; 3e quart 20e siècle
47.235122	6.030257	PA00101482	25	Besançon	25056	immeuble	Hôtel Alvizet ou Alviset	propriété d'une personne privée	L'ensemble de l'hôtel, y compris le jardin, en totalité (cad. AL 69) : classement par arrêté du 5 novembre 2009	2009/11/05 : classé MH		4e quart 16e siècle ; 1er quart 17e siècle ; milieu 18e siècle
47.23311	6.02884	PA00101485	25	Besançon	25056	immeuble	Hôtel Bonvalot	Propriété d'une association	Façade et cloître : inscription par arrêté du 8 juin 1926 ; Façade et couverture d'un bâtiment en recul sur l'alignement présent des rues et débordant sur des encorbellements dans l'immeuble sis 4 rue du Cingle : inscription par arrêté du 13 janvier 1938	1926/06/08 : inscrit MH ; 1938/01/13 : inscrit MH		1ère moitié 16e siècle
