Nom	Adresse	CodePostal	Commune	NumInsee	Acces	Latitude	Longitude	Telephone	Courriel	SiteInternet	Facebook	DescriptifLong
CHÂTEAU DE JOUX	Château de Joux	25300	La Cluse-et-Mijoux	25157		46.872642	6.374238	381694795	contact@chateaudejoux.com	www.chateaudejoux.com		Riche d’une histoire dix fois centenaire, le Château de Joux vous accueille au cœur d’un site d’exception. Édifié à l'entrée de la Cluse de Pontarlier, le Château de Joux commande d'une centaine de mètres le passage emprunté par la grande route internationale reliant à travers le Jura la vallée de la Saône et la Bourgogne à la Suisse, les Flandres et la Champagne à l'Italie, les mers froides septentrionales à la Méditerranée. Cette situation géographique a de tous temps incité les hommes à fortifier et défendre ce point de passage obligé. La grande voie commerciale qui passe au pied du château se développe à partir du 13e siècle, lors du renouveau des échanges européens, et devient la route du sel et du monachisme. Elle est également empruntée par les armées qui ont utilisé ce passage naturel à travers la montagne jurassienne depuis l'Empire Romain.  Passage obligé, cette cluse a toujours constitué un verrou naturel qu'il était logique, tentant et inévitable de surveiller et surtout de fortifier. Après le rattachement de la Franche-Comté au royaume de France en 1674, le rôle joué par la place frontière de Joux devient capital dans la défense du Pré Carré de Vauban. Au cours des dix siècles de son histoire, le château n’a cessé d’être reconstruit, agrandi et complété : il est aujourd’hui composé de 5 enceintes et s’étend sur deux hectares, sans compter le complément défensif offert par les forts du Larmont inférieur et supérieur, construits face au château.
MUSÉE MUNICIPAL	2, place d'Arçon	25300	Pontarlier	25462		46.90412	6.354636	03 81 38 82 16	musee@ville-pontarlier.com	www.ville-pontarlier.fr		Le musée de Pontarlier est installé depuis 1982 dans une imposante demeure bourgeoise au cœur de la ville. De discrets éléments décoratifs témoignent du passé de cette maison d'époque Renaissance maintes fois remaniée jusqu'à la Belle Époque. Le musée présente sur trois niveaux l'histoire de Pontarlier et de ses environs, selon un parcours original mêlant beaux-arts, archéologie, gravures documentaires, affiches publicitaires et objets du quotidien.
MUSÉE ROGER COMTE	2 rue des Prés	25310	Hérimoncourt	25304		47.447245472	6.879683733	03 81 35 77 84				L'association les Amis du Musée de Roger Comte a pour but de faire connaître l'oeuvre et la vie de ce peintre, artiste inclassable, né à Belfort le 8 juillet 1913, dans une famille modeste.
MUSÉE DE PLEIN AIR DES MAISONS COMTOISES	Rue du musée	25360	Nancray	25418		47.2394763525	6.1848930269	03 81 55 29 77	musee@maisons-comtoises.org	www.maisons-comtoises.org		Authentique fruitière à comté, ferme à tuyé, maison de grès rose et son charri, grange à colombage… pas moins de trente édifices traditionnels comtois des 17e, 18e et 19e siècles, avec mobilier d’époque, ont été démontés de leur lieu d’origine et remontés sur le site. Solutions d’hier pour mieux habiter demain : animaux protégés ou en danger, environnement préservé, jardins et vergers 100% bio, animations et expositions sur l’habitat bioclimatique, cultures, modes de vie… Bien évidemment, le développement durable est au cœur du fonctionnement du musée, depuis la gestion de l’eau jusqu’au choix des produits proposés à la boutique et à la cafétéria, en passant par la gestion des déchets et de l’énergie. Et parce que musée rime aussi avec s’amuser, le parc s’anime d’ateliers et de festivités tout au long de l’année !  Au Musée de plein air des Maisons comtoises, la notion de patrimoine vivant prend tout son sens ! 
FERMES A TUÉ - MUSÉE DU PAYS HORLOGER	5 les Cordiers	25570	Grand'Combe-Châteleu	25285		47.0302667701	6.5735578537	381688690	atp.beugnon@wanadoo.fr	www.atp-beugnon.fr		Rentrez au cœur de la maison traditionnelle du montagnon. Découvrez son tué, vaste cheminée de bois, si caractéristique de notre région. Plongez-vous dans la vie des familles paysannes d’autrefois. Admirez l’ingéniosité de nos ancêtres qui ont su construire cette maison parfaitement adaptée aux exigences climatiques. C’est en 1796 que le Sieur Alexis Girard fit construire cette maison dans le quartier des Cordiers. Ce négociant en balances ainsi que le dernier occupant des lieux Jules Jacquemot, ne se doutaient pas qu’aujourd’hui leur ferme serait un lieu de visite réputé. Alexis Girard avait construit solide, employant bonne pierre et bois coupé en bonne lune. Les pièces de la charpente sont remarquables pour leur longueur et leur élancement. La qualité de ce travail, préservé des transformations maladroites et défigurantes, n’a pas échappé aux spécialistes des Monuments Historiques lorsqu’ils ont inscrit la maison à l’inventaire supplémentaire, ni à l’abbé Garneret qui en reproduit des éléments dans son ouvrage de référence dédié à la maison du montagnon. Ce témoin est devenu la mémoire du Haut-Doubs. C’est ici que se trouve l’origine de la spécialisation laitière et de la filière fromagère. Dans le tué, le fumage des viandes salées préfigure la fabrication actuelle de la saucisse de Morteau et des autres salaisons. C’est encore ici, devant la fenêtre du poêle et de la chambre haute, que le paysan se transforma l’hiver en horloger, annonçant notre industrie des micro-techniques.
MUSÉE DES BEAUX-ARTS	Place Philibert-de-Chalon	39000	Lons-le-Saunier	39300		46.6759452194	5.5537310243	03 84 47 64 30	musees@lonslesaunier.fr	www.ville-lons-le-saunier.fr		Le musée des Beaux-Arts de Lons-le-Saunier est fondé en 1817 par la Société d’émulation du Jura. Constitué en grande partie de dons successifs importants, ce musée est d’abord installé dans une salle de la Préfecture, puis en 1851, il est transféré dans une aile de l’Hôtel de Ville.  Actuellement, le musée se divise en deux sections avec, au rez-de-chaussée, la collection de sculptures et, au premier étage, celle des peintures. Une salle du premier étage est également consacrée aux expositions temporaires.
MAISON NATALE DE LOUIS PASTEUR	43 rue Pasteur	39100	Dole	39198		47.0926312915	5.4964363575	03.84.72.20.61	maisondole@terredelouispasteur.fr		www.facebook.com/terrelouispasteur?fref=ts	Pour la Nuit des musées, la maison natale de Louis Pasteur classée maison des illustres sera ouverte de 19h à 24h gratuitement. les visiteurs pourront redécouvrir librement le musée. Des spectacles leur seront proposés. Mise au point par la compagnie le Sens des mots, la formule du Binôme célèbre la rencontre d’un savant et d’un auteur dramatique, sous forme de projections, de lecture-spectacle et de croisements improbables… Quatre représentations au programme de la Nuit des musées, pour mettre la science en scène.
MUSÉE DES BEAUX-ARTS ET D'ARCHÉOLOGIE	85 rue des Arènes	39100	Dole	39198		47.0896510319	5.4890227318	03 84 79 25 85	musee.dole@wanadoo.fr	www.musees-franchecomte.com		Fondé en 1821, le musée est installé depuis 1980 dans le Pavillon des officiers, bel exemple d’architecture militaire comtoise du XVIIIe siècle. Les collections comptent trois départements : archéologie, art ancien et art contemporain. Le fonds d’art ancien est révélateur de la prospérité de Dole, capitale de la Franche-Comté jusqu'en 1678 : art bourguignon et comtois du Moyen-Age au XVIIIe siècle, peinture française des XVIIe-XVIIIe siècles (Vouet, Mignard, Coypel), école italienne (Giordano, Assereto, Mulinari) et nordique (Maître de Saint-Gilles, Momper, van Boucle), auxquels s'ajoute une collection XIXe siècle faisant la part belle à l’école paysagiste comtoise (Courbet, Ordinaire, Pointelin). L’histoire du Comté de Bourgogne est représentée par des scènes de conquêtes de van der Meulen, Martin des Batailles et Martin des Gobelins. Depuis 1983, une réflexion menée sur l'art contemporain a permis de rassembler des œuvres d'artistes ayant travaillé en France à partir des années 60 et centrées autour de la Figuration Narrative et du Nouveau Réalisme.
GRANDE SALINE ET MUSÉE DU SEL 	Place des Salines	39110	Salins-les-Bains	39500		46.9365062708	5.8766126633	03 84 73 10 92	accueil@salinesdesalins.com	www.salinesdesalins.com		La Grande Saline – Musée du sel est l’occasion de découvrir 1200 ans d’histoire de la production de sel en Franche-Comté.  Depuis le VIIIe siècle, Salins les Bains a su tirer profit d’un don de la nature exceptionnel : le sel. C’est grâce au captage des eaux salées et de son évaporation que la ville a acquis sa prospérité. Les comtes de Bourgogne puis le Roi de France ont assuré le développement et la modernisation d’un patrimoine industriel incomparable qui a perduré jusqu’en 1962. Site de production, il est constamment amélioré, à l’écoute des évolutions techniques de son temps. Véritable ingénierie d’exception, une galerie souterraine surplombée de voûtes construites du XII aux XVe siècles, abrite un système de pompe hydraulique toujours en activité. Plongeant à près de 240m de profondeur, le forage sur lequel est installée la pompe permet de remonter une saumure chargée à 330g de sel par litre.   Mais c’est dans le bâtiment d’évaporation qu’on transforme la saumure en or blanc, en la chauffant dans de vastes poêles. La Grande Saline conserve aujourd’hui la dernière poêle en France, témoin d’une technique millénaire et du labeur des sauniers. Enfin, le Musée du Sel installé près du magasin des sels présente une partie des collections. Il évoque le lien entre la Grande Saline et la Saline Royale D'arc et Senans construite à la fin du XVIIIe siècle pour accroître la production régionale de sel. Haut lieu historique et industriel Comtois, les deux salines sont classées au Patrimoine Mondial par l’UNESCO.
L'ATELIER DES SAVOIR-FAIRE	1 grand'rue	39170	Ravilloles	39453		46.4004096	5.7922376	03 84 42 65 06	info@atelierdessavoirfaire.fr	www.atelierdessavoirfaire.fr		Des matières premières aux objets façonnés, de l'outil au geste, L'atelier des savoir-faire, installé dans une ancienne usine de tournerie, vous révèle cet artisanat qui a façonné le Haut-Jura. Découvrez les tourneurs sur bois, pipiers, layetiers, émailleurs, lunetiers, diamantaires, etc. qui ont forgés la réputation de ce territoire.
MUSÉE DE L'ABBAYE / DONATIONS GUY BARDONE - RENE GENIS	3 place de l'abbaye	39200	Saint-Claude	39478		46.386447	5.865322	03 84 38 12 60	contact@museedelabbaye.fr	www.musees-franchecomte.com		Musée situé dans l’ancien palais abbatial (XIe - XVIIIe siècle) restauré, le musée de l’Abbaye / donations Guy Bardone - René Genis a ouvert ses portes à la fin de l’année 2008. Bénéficiant d’une architecture audacieuse, pensée par l’architecte Adelfo Scaranello, ce musée propose une collection figurative de peintures et de dessins de la fin du XIXe siècle aux années 1980. Plusieurs générations d’artistes se succèdent autour de Bonnard et des Nabis, de Dufy et d’autres peintres affiliés à l’École de Paris… et les peintres donateurs, Guy Bardone et René Genis. Outre une programmation artistique qui alterne des expositions temporaires d’art moderne et d’art contemporain, le musée de l’abbaye soutient la création contemporaine par l’invitation, chaque année, d’un artiste en résidence, et propose toute l’année des rencontres avec le public (concert, spectacle, conférences, performance, lectures…). Le sous-sol du musée abrite des vestiges archéologiques qui offrent aux visiteurs la possibilité de découvrir une parcelle du prestigieux monastère – restaurée sous l’égide des Monuments historiques – qui s’est développé en lieu et place de l’actuel musée. Ce site archéologique dévoile l’histoire des « monastères jurassiens », parmi lesquels Saint-Claude figure comme l’un des plus anciens de France.
MUSÉE DU JOUET	5 rue du Murgin	39260	Moirans-en-Montagne	39333		46.432304	5.726618	03 84 42 38 64	musee-du-jouet@jurasud.net	www.musee-du-jouet.com		Retrouvez les jouets qui ont marqué votre enfance ! Des espaces agrandis et intégralement rénovés en 2012 accueillent une exceptionnelle collection internationale de jeux et jouets. Epoques, pays et cultures se côtoient pour vous conter la belle histoire du jouet.
MUSÉE ARCHÉOLOGIQUE DE CHAMPAGNOLE	26 rue Baronne Delort	39300	Champagnole	39097		46.7456320808	5.9084129333		musee@champagnole.com	www.champagnole.fr/Musee-archeologique		Les collections du musée sont issues de l'époque mérovingienne et de la période gallo-romaine et proviennent de fouilles conduites dans les environs de Champagnole. Elles se répartissent sur deux espaces. Une salle est consacrée à la vie des populations gallo-romaines qui vécurent sur le second plateau jurassien du Ier au Ve siècle à travers l'exemple de deux sites locaux d'importance : Mont Rivel et Saint-Germain-en-Montagne. La seconde salle présente les nécropoles mérovingiennes de Crotenay et Monnet-la-Ville qui témoignent à la fois de phénomènes socio-culturels majeurs et de l'habileté des artisans de l'époque avec la présentation d'armes et de parures.
MUSÉE DE LA LUNETTE	Place Jean Jaurès	39400	Morez	39368		46.52084	6.02268	03 84 33 39 30	info@musee.mairie-morez.fr	www.musee-lunette.fr		Le musée de la lunette conserve et valorise le patrimoine industriel du bassin morézien (Jura). Il vous propose de découvrir le génie industriel des Haut-Jurassiens. Dés la fin du XVIIIe siècle, l’hiver, en famille, ils fabriquent des lunettes dans leurs fermes transformées en ateliers. Un siècle plus tard, ils exportent leur production dans le monde entier. Le musée abrite également la collection Essilor – Pierre Marly, composée de quelques 2 500 pièces de toutes époques et de tous horizons. Ces lunettes rares et précieuses mises en scène vous font traverser 700 ans d’histoire de l’humanité. Enfin, le musée ouvre également son propos aux disciplines scientifiques en décryptant le phénomène de la vision. Observez les principaux troubles de la vision, la manière de les compenser et amusez-vous à des jeux d’illusion et d’optique. Toute l’année, le musée de la lunette vous propose une programmation culturelle variée : expositions temporaires, conférences, ateliers pour tout savoir sur l’optique et ses instruments ! Inauguré en 2003, le musée appartient à un vaste ensemble dédié à l’activité lunetière : le Viseum (architectes G. Reichardt et G. Ferreux, Lons-le-Saunier). Il bénéficie du label « Musée de France », délivré par le ministère de la Culture et de la Communication ainsi que des labels Tourisme et handicap et Qualité Tourisme. Le musée de la lunette est un musée municipal. Il est financé par la Ville de Morez et bénéficie notamment du soutien de la DRAC, de la Région Franche-Comté et du Conseil général du Jura. Chaque année il accueille près de 17 000 visiteurs.
MAISON DE LOUIS PASTEUR	83 rue de Courcelles	39600	Arbois	39013		46.9064	5.7698		maisondelouispasteur@wanadoo.fr	www.academie-sciences.fr/pasteur.htm		Dans cette maison, Louis Pasteur, l'inventeur du vaccin contre la rage revint sa vie durant. La maison a été incroyablement conservée du salon billard à son laboratoire personnel.
MUSÉE D'ART - HOTEL SARRET DE GROZON	9 Grande Rue	39600	Arbois	39013		46.90329	5.773031	03 84 66 55 44	jseve@arbois.fr	www.juramusées.fr ou www.arbois.fr		Le Musée porte le nom de la famille qui légua à la ville d’Arbois, en 1902, son hôtel particulier ainsi que son mobilier et ses collections d’objets (porcelaine et argenterie exceptionnelles) et d’œuvres d’art (tableaux du XVIIe au XIXe siècle, dont les peintres comtois Courbet et Pointelin). Après la mort, en 1931, de Madame de Sarret qui avait gardé la jouissance de la demeure, le musée ouvre en 1934. Ces œuvres reflètent les goûts éclairés de plusieurs générations d’une famille appartenant à l’aristocratie provinciale, dont les appartements ont conservé leurs décors intérieurs. Les portraits d’Arboisiens dessinés au pastel par Louis Pasteur adolescent sont également exposés.
MUSÉE DE LA VIGNE ET DU VIN DU JURA	Château Pécauld rue des Fossés	39600	Arbois	39013		46.9039041369	5.774243474	03 84 66 40 45	museevignevin@wanadoo.fr	www.juramusees.fr		Installé dans un monument remarquable des XIII° et XVIII° siècles appelé « Château Pécauld », le Musée de la Vigne et du Vin du Jura est entouré de vignes plantées autour de la bâtisse. La visite commence au pied des vignes. On y observe les différents cépages associés à leurs substrats caractéristiques (« marnes rouges », « argiles à chailles », …).  On découvre les travaux de la vigne, les outils au fil des siècles... Le parcours se poursuit à l’intérieur du château. L’histoire et les traditions du monde vigneron sont racontées, la crise du phylloxera et autres maladies, les travaux de l’hiver (le greffage, la confection d’échalas), les fêtes populaires, celle du Biou etc. On y rencontre alors différents personnages, du plus folklorique, comme le « garde-fruit » qui traquait les maraudeurs, au plus illustre, comme Louis Pasteur qui fit ses expériences sur le vin… En descendant dans les caves voûtées, les fouloirs, pressoirs, tonneaux, alambics et embouchoirs, révèlent la fabrication du vin, les différentes méthodes de vinification et le conditionnement du vin.
MAISON DU COMTÉ	Avenue de la Résistance 	39801	Poligny	39434		46.834193	5.706419	03 84 37 78 40 	maisonducomte@comte.com	www.maison-du-comte.com		Espace muséographique ludique et interactif pour découvrir toutes les facettes du 1er fromage AOP de France, de la prairie à notre assiette.
MUSEE BARON MARTIN	6 rue Edmond Pigalle	70100	Gray	70279		47.44658	5.593529	03 84 65 06 15	musee@ville-gray.fr	musee-baronmartin.fr		Dans ce château classé Monument historique qui offre les caractéristiques architecturales des grands hôtels parisiens et des demeures de plaisance de la fin du XVIIIe siècle, les lambris clairs décorés de mascarons, de pilastres composites, d’ornements en gypse champêtres et folâtres s’harmonisent avec les collections patiemment choisies depuis plus de deux siècles et avec un parc aux riches frondaisons ombreuses. Dessus de portes paysages de Clesinger, autoportrait d’Oudry, portrait d’apparat de Louis XIV et portrait presque pré-romantique de Louis XV, Galant colporteur de Boucher, vues d’Italie, Femme corsaire de Billardet, commodes galbées et encoignures dialoguent avec les chef-d’œuvre de la peinture flamande et de la peinture française des XIXe ainsi qu’avec avec les riches collections archéologiques évoquant le passé régional installées dans les caveaux appareillés en pierres de taille de l’ancien château médiéval de Gray.
ÉCOMUSÉE DU PAYS DE LA CERISE	206 lieu-dit Petit Fahys	70220	Fougerolles	70245	Accès par la RN 57, entre Remiremont (88) et Luxeuil les Bains (70)	47.902332	6.420185		lm.ecomusee@orange.fr  |  g.larique.ecomusee@orange.fr	www.musees-des-techniques.org	fr-fr.facebook.com/ecomuseedupaysdelacerisesedefougerolles	Situé sur un ancien domaine de distillateur, construit en 1829 et classé monument historique et bâtiment de France, l'écomusée est un musée de territoire témoignant d'une histoire fougerollaise exceptionnelle autour de la production de Kirsch et autres eaux-de-vie. Entre industrialisation, modernité et traditions, us et coutumes et savoir-faire, les visiteurs partent à la rencontre d'hommes qui ont fait de Fougerolles la cité du Kirsch que l'on connait aujourd'hui. Elle était récompensée en 2010 par l'obtention de l'AOC Kirsch.
MUSÉE DE LA MINE	33 place de la mairie	70250	Ronchamp	70451		47.699704103	6.6328883171		musee.ronchamp@wanadoo.fr 	www.mineronchamp.fr		Le Musée Marcel Maulini présente : la vie des mineurs de l'époque, au travail mais aussi en famille, les travaux du Dr Maulini sur la silicose, l'immigration polonaise et italienne qui a conduit à nos jumelages,  de la Géologie avec les fossiles ,  les luttes sociales 
MAISON DE LA NÉGRITUDE ET DES DROITS DE L'HOMME	24 Grande rue	70290	Champagney	70120		47.7055380876	6.6849124432	03 84 23 25 45	negritude.cpy70@wanadoo.fr	www.maisondelanegritude.fr		Lieu de mémoire autour de l'article 29 du cahier de doléances de Champagney réclamant l'abolition de l'esclavage des Noirs (19 mars 1789), la Maison de la Négritude évoque l'histoire de l'esclavage des Noirs et des longs combats ayant mené à son abolition. Elle est aussi ouverte sur l'actualité (violations des droits de l'homme, nouvelles formes d'esclavage...).
